Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
CVL0001,0.9,0.9,0.9,0.9,0.0999999999,0.0999999999,0.09999999999999999,0.99
CVL0003,0.6666666666666666,0.6,1.0,0.75,0.6666666655555555,0.0,0.33333333333333337,0.8333333333333333
CVL0004,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.14285714265306124,0.2857142853061225,0.2857142857142857,0.8775510204081631
CVL0005,0.8461538461538461,1.0,0.6923076923076923,0.8181818181818182,0.0,0.30769230745562126,0.0769230769230769,0.970414201183432
CVL0006,0.9375,0.8888888888888888,1.0,0.9411764705882353,0.12499999984374999,0.0,0.0,1.0
CVL0012,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0014,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0015,0.875,1.0,0.75,0.8571428571428571,0.0,0.24999999968749997,0.0625,0.96875
CVL0017,0.9583333333333334,0.9230769230769231,1.0,0.96,0.08333333326388888,0.0,0.0,1.0
CVL0020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0021,0.9375,1.0,0.875,0.9333333333333333,0.0,0.12499999984374999,0.0,1.0
CVL0022,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0023,0.7083333333333334,0.631578947368421,1.0,0.7741935483870968,0.5833333328472222,0.0,0.16666666666666663,0.9444444444444444
CVL0024,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.0,0.2857142853061225,0.14285714285714288,0.9387755102040816
CVL0025,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0026,0.8125,1.0,0.625,0.7692307692307693,0.0,0.37499999953124996,0.125,0.984375
CVL0027,0.42857142857142855,0.46153846153846156,0.8571428571428571,0.6,0.9999999985714286,0.14285714265306124,0.9285714285714286,0.12244897959183673
CVL0028,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0029,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.0,0.14285714265306124,0.0,1.0
CVL0042,0.7,0.6666666666666666,0.8,0.7272727272727273,0.3999999996,0.1999999998,0.30000000000000004,0.86
CVL0047,0.9285714285714286,0.875,1.0,0.9333333333333333,0.14285714265306124,0.0,0.07142857142857142,0.8775510204081634
CVL0057,0.625,0.5714285714285714,1.0,0.7272727272727273,0.7499999990624999,0.0,0.125,0.859375
CVL0059,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
CVL0074,0.9285714285714286,0.875,1.0,0.9333333333333333,0.14285714265306124,0.0,0.0,1.0
CVL0075,0.8571428571428571,0.7777777777777778,1.0,0.875,0.2857142853061225,0.0,0.2857142857142857,0.8571428571428572
