Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W002,0.6944444444444444,0.7058823529411765,0.6666666666666666,0.6857142857142857,0.2777777776234568,0.3333333331481481,0.3055555555555556,0.8148148148148148
W003,0.7368421052631579,0.68,0.8947368421052632,0.7727272727272727,0.4210526313573407,0.10526315783933518,0.13157894736842107,0.8781163434903047
W004,0.3157894736842105,0.3333333333333333,0.3684210526315789,0.35,0.7368421048753462,0.631578947036011,0.5789473684210527,0.32963988919667586
W005,0.525,0.5238095238095238,0.55,0.5365853658536586,0.49999999975,0.449999999775,0.44999999999999996,0.5775
W006,0.5,0.5,0.7777777777777778,0.6086956521739131,0.777777777345679,0.2222222220987654,0.4444444444444444,0.6172839506172839
W007,0.8409090909090909,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.18181818173553718,0.13636363630165288,0.13636363636363635,0.8863636363636364
W008,0.5454545454545454,0.525,0.9545454545454546,0.6774193548387096,0.8636363632438017,0.045454545433884296,0.2954545454545454,0.6962809917355371
W009,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333331481481,0.3333333331481481,0.36111111111111116,0.7006172839506173
W010,0.5681818181818182,0.5882352941176471,0.45454545454545453,0.5128205128205128,0.3181818180371901,0.5454545452066115,0.36363636363636365,0.6363636363636365
W011,0.7727272727272727,0.75,0.8181818181818182,0.782608695652174,0.27272727260330576,0.18181818173553718,0.29545454545454547,0.8450413223140496
W015,0.7291666666666666,0.6774193548387096,0.875,0.7636363636363637,0.41666666649305556,0.12499999994791666,0.25,0.7586805555555556
W016,0.725,0.7368421052631579,0.7,0.717948717948718,0.249999999875,0.29999999985,0.30000000000000004,0.855
W017,0.6470588235294118,0.6086956521739131,0.8235294117647058,0.7,0.5294117643944637,0.1764705881314879,0.17647058823529416,0.8373702422145328
W018,0.6666666666666666,0.7333333333333333,0.5238095238095238,0.6111111111111112,0.19047619038548752,0.47619047596371883,0.35714285714285715,0.746031746031746
W019,0.5714285714285714,0.5882352941176471,0.47619047619047616,0.5263157894736842,0.3333333331746032,0.5238095235600907,0.35714285714285715,0.6802721088435374
W020,0.75,0.72,0.8181818181818182,0.7659574468085106,0.3181818180371901,0.18181818173553718,0.15909090909090906,0.8119834710743802
W023,0.875,0.9411764705882353,0.8,0.8648648648648649,0.049999999975,0.1999999999,0.12499999999999997,0.8575
