Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W002,0.8235294117647058,0.8666666666666667,0.7647058823529411,0.8125,0.11764705875432525,0.2352941175086505,0.17647058823529416,0.8788927335640138
W003,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.05263157891966759,0.05263157891966759,0.052631578947368446,0.997229916897507
W004,0.9722222222222222,0.9473684210526315,1.0,0.972972972972973,0.05555555552469135,0.0,0.027777777777777776,0.9876543209876543
W005,0.9285714285714286,0.875,1.0,0.9333333333333333,0.14285714278911565,0.0,0.09523809523809523,0.9909297052154195
W007,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W008,0.8095238095238095,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.09523809519274376,0.2857142855782313,0.19047619047619047,0.8798185941043084
W010,0.9318181818181818,0.88,1.0,0.9361702127659575,0.13636363630165288,0.0,0.045454545454545456,0.9421487603305785
W011,0.8863636363636364,0.84,0.9545454545454546,0.8936170212765957,0.18181818173553718,0.045454545433884296,0.09090909090909093,0.9876033057851239
W012,0.8095238095238095,0.8421052631578947,0.7619047619047619,0.8,0.14285714278911565,0.23809523798185941,0.19047619047619047,0.9024943310657596
W013,0.85,0.85,0.85,0.85,0.149999999925,0.149999999925,0.10000000000000002,0.885
W015,0.8125,0.8947368421052632,0.7083333333333334,0.7906976744186046,0.0833333332986111,0.2916666665451389,0.06249999999999998,0.9618055555555556
W016,0.8571428571428571,0.7777777777777778,1.0,0.875,0.2857142855782313,0.0,0.09523809523809523,0.9705215419501134
W017,0.8333333333333334,1.0,0.6666666666666666,0.8,0.0,0.3333333331481481,0.055555555555555566,0.9845679012345679
W018,0.9047619047619048,1.0,0.8095238095238095,0.8947368421052632,0.0,0.19047619038548752,0.047619047619047644,0.9977324263038548
W019,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555552469135,0.02777777777777779,0.9691358024691358
W021,0.98,0.9615384615384616,1.0,0.9803921568627451,0.039999999984,0.0,0.059999999999999984,0.9967999999999999
W024,0.9047619047619048,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.14285714278911565,0.04761904759637188,0.14285714285714288,0.9410430839002267
