Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W002,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,0.1111111110493827,0.11111111111111113,0.9845679012345679
W003,0.868421052631579,1.0,0.7368421052631579,0.8484848484848485,0.0,0.26315789459833794,0.052631578947368446,0.9806094182825484
W004,0.95,0.9090909090909091,1.0,0.9523809523809523,0.09999999995,0.0,0.025,0.9924999999999999
W005,0.95,0.95,0.95,0.95,0.049999999975,0.049999999975,0.025000000000000022,0.99
W006,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W007,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W008,0.8409090909090909,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.045454545433884296,0.27272727260330576,0.045454545454545435,0.9648760330578512
W009,0.7777777777777778,0.7083333333333334,0.9444444444444444,0.8095238095238095,0.3888888886728395,0.05555555552469135,0.08333333333333336,0.9598765432098766
W010,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W011,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.0,0.045454545433884296,0.022727272727272707,0.9896694214876033
W015,0.7962962962962963,0.8636363636363636,0.7037037037037037,0.7755102040816326,0.11111111106995884,0.2962962961865569,0.1851851851851852,0.9108367626886146
W016,0.825,0.9333333333333333,0.7,0.8,0.049999999975,0.29999999985,0.15000000000000002,0.905
W017,0.9117647058823529,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.11764705875432525,0.05882352937716263,0.08823529411764706,0.9653979238754324
W018,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.04761904759637188,0.14285714278911565,0.11904761904761907,0.9478458049886621
W019,0.8421052631578947,1.0,0.6842105263157895,0.8125,0.0,0.3157894735180055,0.07894736842105265,0.9501385041551247
W020,0.8913043478260869,0.8214285714285714,1.0,0.9019607843137255,0.21739130425330813,0.0,0.10869565217391307,0.9773156899810964
W023,0.825,0.7407407407407407,1.0,0.851063829787234,0.34999999982499996,0.0,0.09999999999999999,0.9625
W024,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.04761904759637188,0.14285714278911565,0.023809523809523808,0.9863945578231292
W026,0.8913043478260869,0.875,0.9130434782608695,0.8936170212765957,0.13043478255198487,0.08695652170132324,0.13043478260869568,0.9697542533081286
W028,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W030,0.975,1.0,0.95,0.9743589743589743,0.0,0.049999999975,0.0,1.0
W032,0.95,1.0,0.9,0.9473684210526315,0.0,0.09999999995,0.0,1.0
W033,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.20833333324652778,0.20833333324652778,0.25,0.8749999999999999
W034,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W036,0.9722222222222222,0.9473684210526315,1.0,0.972972972972973,0.05555555552469135,0.0,0.055555555555555566,0.9969135802469136
W038,0.9705882352941176,1.0,0.9411764705882353,0.9696969696969697,0.0,0.05882352937716263,0.0,1.0
W041,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555552469135,0.0,1.0
W044,0.8541666666666666,0.7931034482758621,0.9583333333333334,0.8679245283018868,0.24999999989583332,0.04166666664930555,0.16666666666666663,0.9548611111111112
W046,0.8571428571428571,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.19047619038548752,0.09523809519274376,0.19047619047619047,0.9251700680272109
W047,0.9545454545454546,0.9166666666666666,1.0,0.9565217391304348,0.09090909086776859,0.0,0.11363636363636363,0.9566115702479339
W048,0.8863636363636364,1.0,0.7727272727272727,0.8717948717948718,0.0,0.22727272716942148,0.0,1.0
W049,0.8157894736842105,0.8,0.8421052631578947,0.8205128205128205,0.21052631567867036,0.15789473675900276,0.1842105263157895,0.9556786703601108
W050,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W051,0.8958333333333334,0.88,0.9166666666666666,0.8979591836734694,0.12499999994791666,0.0833333332986111,0.125,0.9583333333333334
W052,0.9318181818181818,0.88,1.0,0.9361702127659575,0.13636363630165288,0.0,0.045454545454545435,0.9917355371900827
W053,0.9722222222222222,0.9473684210526315,1.0,0.972972972972973,0.05555555552469135,0.0,0.0,1.0
W054,0.9722222222222222,0.9473684210526315,1.0,0.972972972972973,0.05555555552469135,0.0,0.0,1.0
W055,0.8095238095238095,0.76,0.9047619047619048,0.8260869565217391,0.2857142855782313,0.09523809519274376,0.14285714285714288,0.9047619047619048
W056,0.75,0.6666666666666666,1.0,0.8,0.49999999977272724,0.0,0.15909090909090906,0.9545454545454545
W058,0.8235294117647058,0.9230769230769231,0.7058823529411765,0.8,0.05882352937716263,0.29411764688581316,0.17647058823529416,0.9480968858131488
W059,0.8913043478260869,0.95,0.8260869565217391,0.8837209302325582,0.04347826085066162,0.1739130434026465,0.13043478260869565,0.9773156899810964
W061,0.8,0.8,0.8,0.8,0.1999999999,0.1999999999,0.22499999999999998,0.9099999999999999
W063,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W064,0.9782608695652174,1.0,0.9565217391304348,0.9777777777777777,0.0,0.04347826085066162,0.0,1.0
W066,0.9090909090909091,0.95,0.8636363636363636,0.9047619047619048,0.045454545433884296,0.13636363630165288,0.13636363636363635,0.9462809917355373
W067,0.8695652173913043,0.8148148148148148,0.9565217391304348,0.88,0.21739130425330813,0.04347826085066162,0.10869565217391307,0.9829867674858223
W069,0.9761904761904762,0.9545454545454546,1.0,0.9767441860465116,0.04761904759637188,0.0,0.0,1.0
W070,0.9210526315789473,0.9444444444444444,0.8947368421052632,0.918918918918919,0.05263157891966759,0.10526315783933518,0.10526315789473684,0.9833795013850415
W071,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.045454545433884296,0.045454545433884296,0.045454545454545435,0.9855371900826446
W073,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.04347826085066162,0.04347826085066162,0.0434782608695652,0.9697542533081286
W074,0.9347826086956522,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.04347826085066162,0.08695652170132324,0.021739130434782608,0.9943289224952742
W077,0.9523809523809523,1.0,0.9047619047619048,0.95,0.0,0.09523809519274376,0.0,1.0
W078,0.9736842105263158,0.95,1.0,0.9743589743589743,0.05263157891966759,0.0,0.0,1.0
W079,0.868421052631579,1.0,0.7368421052631579,0.8484848484848485,0.0,0.26315789459833794,0.10526315789473684,0.9612188365650969
W082,0.868421052631579,0.85,0.8947368421052632,0.8717948717948718,0.15789473675900276,0.10526315783933518,0.13157894736842105,0.9806094182825484
W084,0.8333333333333334,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.09523809519274376,0.23809523798185941,0.14285714285714288,0.8843537414965985
W086,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.0,0.045454545433884296,0.0,1.0
W087,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.0,0.045454545433884296,0.045454545454545435,0.9979338842975207
W088,0.8409090909090909,0.7586206896551724,1.0,0.8627450980392157,0.3181818180371901,0.0,0.045454545454545435,0.9793388429752066
W089,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.07692307689349112,0.07692307689349112,0.05769230769230768,0.9866863905325444
W090,0.8947368421052632,0.8260869565217391,1.0,0.9047619047619048,0.21052631567867036,0.0,0.02631578947368421,0.9889196675900278
W091,0.9807692307692307,1.0,0.9615384615384616,0.9803921568627451,0.0,0.03846153844674556,0.0,1.0
W092,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.14285714278911565,0.2857142855782313,0.16666666666666666,0.8934240362811792
W094,0.6875,0.625,0.9375,0.75,0.5624999996484374,0.0624999999609375,0.1875,0.9296875
W095,0.8333333333333334,0.9285714285714286,0.7222222222222222,0.8125,0.05555555552469135,0.2777777776234568,0.055555555555555566,0.962962962962963
