Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W002,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,0.16666666657407406,0.0,0.02777777777777779,0.9907407407407407
W003,0.8421052631578947,0.782608695652174,0.9473684210526315,0.8571428571428571,0.26315789459833794,0.05263157891966759,0.026315789473684237,0.9750692520775623
W004,0.9210526315789473,0.9444444444444444,0.8947368421052632,0.918918918918919,0.05263157891966759,0.10526315783933518,0.02631578947368421,0.9473684210526316
W005,0.975,1.0,0.95,0.9743589743589743,0.0,0.049999999975,0.050000000000000024,0.9974999999999999
W006,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555552469135,0.0,1.0
W007,0.9318181818181818,0.88,1.0,0.9361702127659575,0.13636363630165288,0.0,0.0,1.0
W008,0.8863636363636364,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.045454545433884296,0.18181818173553718,0.13636363636363635,0.9731404958677686
W009,0.75,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.3888888886728395,0.1111111110493827,0.16666666666666663,0.9074074074074074
W010,0.8863636363636364,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.13636363630165288,0.09090909086776859,0.11363636363636365,0.981404958677686
W011,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W015,0.8958333333333334,0.9130434782608695,0.875,0.8936170212765957,0.0833333332986111,0.12499999994791666,0.125,0.9774305555555556
W016,0.925,1.0,0.85,0.918918918918919,0.0,0.149999999925,0.050000000000000024,0.9824999999999999
W017,0.9705882352941176,0.9444444444444444,1.0,0.9714285714285714,0.05882352937716263,0.0,0.029411764705882353,0.9653979238754326
W018,0.8095238095238095,0.7241379310344828,1.0,0.84,0.38095238077097504,0.0,0.07142857142857142,0.9773242630385488
W019,0.8571428571428571,0.8,0.9523809523809523,0.8695652173913043,0.23809523798185941,0.04761904759637188,0.16666666666666666,0.9410430839002267
W020,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.0,0.045454545433884296,0.0,1.0
W023,0.775,0.7037037037037037,0.95,0.8085106382978723,0.3999999998,0.049999999975,0.07499999999999998,0.9475
W024,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.0,0.04761904759637188,0.047619047619047644,0.9977324263038548
W026,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.0,0.045454545433884296,0.0,1.0
W028,0.9666666666666667,0.9375,1.0,0.967741935483871,0.06666666662222222,0.0,0.06666666666666665,0.9955555555555555
W030,0.975,1.0,0.95,0.9743589743589743,0.0,0.049999999975,0.025000000000000022,0.99
W032,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W033,0.8125,0.8,0.8333333333333334,0.8163265306122449,0.20833333324652778,0.1666666665972222,0.22916666666666669,0.857638888888889
W034,0.9285714285714286,0.95,0.9047619047619048,0.926829268292683,0.04761904759637188,0.09523809519274376,0.047619047619047644,0.9727891156462585
W036,0.9722222222222222,0.9473684210526315,1.0,0.972972972972973,0.05555555552469135,0.0,0.027777777777777776,0.9907407407407407
W038,0.9705882352941176,1.0,0.9411764705882353,0.9696969696969697,0.0,0.05882352937716263,0.0,1.0
W041,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.0,0.1111111110493827,0.055555555555555566,0.9907407407407407
W044,0.8541666666666666,0.7931034482758621,0.9583333333333334,0.8679245283018868,0.24999999989583332,0.04166666664930555,0.125,0.9444444444444445
W046,0.8809523809523809,0.8333333333333334,0.9523809523809523,0.8888888888888888,0.19047619038548752,0.04761904759637188,0.09523809523809523,0.963718820861678
W047,0.9761904761904762,0.9545454545454546,1.0,0.9767441860465116,0.04761904759637188,0.0,0.0,1.0
W048,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W049,0.8421052631578947,0.782608695652174,0.9473684210526315,0.8571428571428571,0.26315789459833794,0.05263157891966759,0.052631578947368446,0.9695290858725761
W050,0.95,1.0,0.9,0.9473684210526315,0.0,0.0999999999,0.0,1.0
W051,0.8478260869565217,0.8333333333333334,0.8695652173913043,0.851063829787234,0.1739130434026465,0.13043478255198487,0.15217391304347827,0.8865784499054821
W052,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.045454545433884296,0.045454545433884296,0.045454545454545435,0.9917355371900827
W053,0.9705882352941176,1.0,0.9411764705882353,0.9696969696969697,0.0,0.05882352937716263,0.08823529411764706,0.9930795847750865
W054,0.8888888888888888,0.9375,0.8333333333333334,0.8823529411764706,0.05555555552469135,0.16666666657407406,0.055555555555555566,0.9783950617283951
W055,0.8863636363636364,1.0,0.7727272727272727,0.8717948717948718,0.0,0.22727272716942148,0.11363636363636365,0.9586776859504132
W056,0.9047619047619048,0.84,1.0,0.9130434782608695,0.19047619038548752,0.0,0.09523809523809523,0.961451247165533
