Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W001,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.36363636347107436,0.09090909086776859,0.13636363636363635,0.890495867768595
W002,0.8888888888888888,0.9375,0.8333333333333334,0.8823529411764706,0.05555555552469135,0.16666666657407406,0.16666666666666663,0.9567901234567902
W003,0.9210526315789473,0.9,0.9473684210526315,0.9230769230769231,0.10526315783933518,0.05263157891966759,0.026315789473684237,0.9861495844875346
W004,0.8611111111111112,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.05555555552469135,0.2222222220987654,0.027777777777777776,0.9814814814814814
W005,0.6818181818181818,0.6176470588235294,0.9545454545454546,0.75,0.5909090906404958,0.045454545433884296,0.06818181818181816,0.9338842975206612
W006,0.84375,1.0,0.6875,0.8148148148148148,0.0,0.3124999998046875,0.0,1.0
W007,0.9772727272727273,0.9565217391304348,1.0,0.9777777777777777,0.045454545433884296,0.0,0.045454545454545435,0.9979338842975207
W008,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818173553718,0.18181818173553718,0.1818181818181818,0.9008264462809917
W009,0.8055555555555556,0.9230769230769231,0.6666666666666666,0.7741935483870968,0.05555555552469135,0.3333333331481481,0.11111111111111113,0.941358024691358
W010,0.8181818181818182,0.85,0.7727272727272727,0.8095238095238095,0.13636363630165288,0.22727272716942148,0.11363636363636365,0.9400826446280992
W012,0.8571428571428571,0.8947368421052632,0.8095238095238095,0.85,0.09523809519274376,0.19047619038548752,0.07142857142857145,0.927437641723356
W013,0.8,0.8333333333333334,0.75,0.7894736842105263,0.149999999925,0.249999999875,0.075,0.8899999999999999
W015,0.82,0.8333333333333334,0.8,0.8163265306122449,0.159999999936,0.19999999992,0.14,0.9072
W016,0.725,0.6956521739130435,0.8,0.7441860465116279,0.34999999982499996,0.1999999999,0.25,0.84
W017,0.7941176470588235,0.8125,0.7647058823529411,0.7878787878787878,0.1764705881314879,0.2352941175086505,0.17647058823529416,0.8719723183391004
W020,0.6590909090909091,0.64,0.7272727272727273,0.6808510638297872,0.40909090890495864,0.27272727260330576,0.20454545454545453,0.834710743801653
W022,0.9318181818181818,1.0,0.8636363636363636,0.926829268292683,0.0,0.13636363630165288,0.0681818181818182,0.9731404958677686
W024,0.8333333333333334,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.09523809519274376,0.23809523798185941,0.09523809523809523,0.9183673469387754
W027,0.8333333333333334,0.875,0.7777777777777778,0.8235294117647058,0.1111111110493827,0.2222222220987654,0.13888888888888887,0.8641975308641976
W028,0.8666666666666667,0.9230769230769231,0.8,0.8571428571428571,0.06666666662222222,0.19999999986666667,0.06666666666666665,0.9733333333333334
W030,0.4,0.4444444444444444,0.8,0.5714285714285714,0.9999999995,0.1999999999,0.85,0.26499999999999996
W031,0.868421052631579,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.10526315783933518,0.15789473675900276,0.05263157894736842,0.961218836565097
W032,0.8,0.75,0.9,0.8181818181818182,0.29999999985,0.09999999995,0.09999999999999999,0.9475
W033,0.7291666666666666,0.8235294117647058,0.5833333333333334,0.6829268292682927,0.12499999994791666,0.41666666649305556,0.20833333333333337,0.8472222222222223
W034,0.775,0.8666666666666667,0.65,0.7428571428571429,0.09999999995,0.34999999982499996,0.07500000000000002,0.9275
W036,0.6388888888888888,0.8571428571428571,0.3333333333333333,0.48,0.05555555552469135,0.6666666662962962,0.027777777777777776,0.9629629629629629
W037,0.5869565217391305,0.5666666666666667,0.7391304347826086,0.6415094339622641,0.5652173910586011,0.26086956510396975,0.43478260869565216,0.7674858223062382
W038,0.8529411764705882,0.875,0.8235294117647058,0.8484848484848485,0.11764705875432525,0.1764705881314879,0.058823529411764705,0.9134948096885813
W039,0.40476190476190477,0.4473684210526316,0.8095238095238095,0.576271186440678,0.9999999995238095,0.19047619038548752,0.6666666666666667,0.4217687074829932
W040,0.75,0.7647058823529411,0.7222222222222222,0.7428571428571429,0.2222222220987654,0.2777777776234568,0.3333333333333333,0.8734567901234568
W042,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.3333333331944444,0.0833333332986111,0.22916666666666669,0.8715277777777777
W044,0.8958333333333334,0.9130434782608695,0.875,0.8936170212765957,0.0833333332986111,0.12499999994791666,0.08333333333333334,0.9357638888888887
W045,0.8809523809523809,0.8076923076923077,1.0,0.8936170212765957,0.23809523798185941,0.0,0.047619047619047644,0.9546485260770975
W046,0.875,0.9411764705882353,0.8,0.8648648648648649,0.049999999975,0.1999999999,0.15000000000000002,0.9299999999999999
W048,0.9090909090909091,1.0,0.8181818181818182,0.9,0.0,0.18181818173553718,0.0,1.0
W049,0.6842105263157895,1.0,0.3684210526315789,0.5384615384615384,0.0,0.631578947036011,0.23684210526315788,0.8531855955678671
W052,0.8409090909090909,1.0,0.6818181818181818,0.8108108108108109,0.0,0.3181818180371901,0.1818181818181818,0.9297520661157026
W053,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909086776859,0.09090909086776859,0.06818181818181816,0.9028925619834711
W059,0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523,0.0,0.09090909086776859,0.13636363636363638,0.9834710743801652
W060,0.868421052631579,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.21052631567867036,0.05263157891966759,0.15789473684210528,0.9667590027700831
W061,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.10526315783933518,0.10526315783933518,0.10526315789473684,0.9196675900277008
W062,0.8055555555555556,0.8235294117647058,0.7777777777777778,0.8,0.16666666657407406,0.2222222220987654,0.11111111111111112,0.8734567901234568
W063,0.9375,1.0,0.875,0.9333333333333333,0.0,0.124999999921875,0.0625,0.96484375
W066,0.9285714285714286,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.09523809519274376,0.04761904759637188,0.07142857142857145,0.9841269841269842
W069,0.7954545454545454,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.13636363630165288,0.27272727260330576,0.1818181818181818,0.9297520661157024
W070,0.7631578947368421,0.8125,0.6842105263157895,0.7428571428571429,0.15789473675900276,0.3157894735180055,0.2368421052631579,0.8448753462603877
W071,0.8409090909090909,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.045454545433884296,0.27272727260330576,0.11363636363636363,0.9442148760330578
W073,0.9090909090909091,1.0,0.8181818181818182,0.9,0.0,0.18181818173553718,0.045454545454545435,0.9979338842975207
W075,0.9,0.8636363636363636,0.95,0.9047619047619048,0.149999999925,0.049999999975,0.07500000000000002,0.9175
W076,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.09523809519274376,0.09523809519274376,0.07142857142857145,0.9365079365079365
W077,0.9523809523809523,1.0,0.9047619047619048,0.95,0.0,0.09523809519274376,0.07142857142857145,0.9954648526077098
W078,0.925,0.9473684210526315,0.9,0.9230769230769231,0.049999999975,0.09999999995,0.025,0.99
W080,0.7222222222222222,0.6578947368421053,0.9259259259259259,0.7692307692307693,0.481481481303155,0.07407407404663922,0.42592592592592593,0.7366255144032922
W081,0.8181818181818182,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.22727272716942148,0.13636363630165288,0.2272727272727273,0.9276859504132231
W082,0.8947368421052632,0.8260869565217391,1.0,0.9047619047619048,0.21052631567867036,0.0,0.07894736842105263,0.9168975069252077
W083,0.85,0.8181818181818182,0.9,0.8571428571428571,0.1999999999,0.09999999995,0.04999999999999999,0.9425
W084,0.8571428571428571,0.8947368421052632,0.8095238095238095,0.85,0.09523809519274376,0.19047619038548752,0.16666666666666669,0.873015873015873
W086,0.8181818181818182,0.9375,0.6818181818181818,0.7894736842105263,0.045454545433884296,0.3181818180371901,0.1818181818181818,0.9132231404958677
W087,0.7727272727272727,0.7142857142857143,0.9090909090909091,0.8,0.36363636347107436,0.09090909086776859,0.25,0.8326446280991735
W088,0.9761904761904762,0.9545454545454546,1.0,0.9767441860465116,0.04761904759637188,0.0,0.023809523809523808,0.9841269841269841
W089,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.11111111106995884,0.11111111106995884,0.11111111111111113,0.9396433470507545
W090,0.9444444444444444,0.9,1.0,0.9473684210526315,0.1111111110493827,0.0,0.027777777777777776,0.9876543209876543
W092,0.8,0.7586206896551724,0.88,0.8148148148148148,0.279999999888,0.119999999952,0.19999999999999998,0.8623999999999999
