Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W002,0.9166666666666666,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.05555555552469135,0.1111111110493827,0.11111111111111113,0.9845679012345679
W003,0.8421052631578947,1.0,0.6842105263157895,0.8125,0.0,0.3157894735180055,0.07894736842105265,0.9612188365650969
W004,0.975,0.9523809523809523,1.0,0.975609756097561,0.049999999975,0.0,0.025,0.9924999999999999
W005,0.95,0.95,0.95,0.95,0.049999999975,0.049999999975,0.050000000000000024,0.9974999999999999
W006,0.96875,0.9411764705882353,1.0,0.9696969696969697,0.0624999999609375,0.0,0.0,1.0
W007,0.9761904761904762,0.9545454545454546,1.0,0.9767441860465116,0.04761904759637188,0.0,0.0,1.0
W008,0.8863636363636364,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.09090909086776859,0.13636363630165288,0.06818181818181816,0.9566115702479339
W009,0.8611111111111112,0.782608695652174,1.0,0.8780487804878049,0.2777777776234568,0.0,0.1388888888888889,0.9753086419753086
W010,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W011,0.9318181818181818,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.045454545433884296,0.09090909086776859,0.045454545454545435,0.993801652892562
W015,0.7962962962962963,0.8076923076923077,0.7777777777777778,0.7924528301886793,0.18518518511659807,0.22222222213991769,0.2037037037037037,0.8943758573388203
W016,0.825,1.0,0.65,0.7878787878787878,0.0,0.34999999982499996,0.24999999999999997,0.9125
W017,0.9117647058823529,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.11764705875432525,0.05882352937716263,0.1470588235294118,0.9584775086505191
W018,0.8571428571428571,0.8947368421052632,0.8095238095238095,0.85,0.09523809519274376,0.19047619038548752,0.14285714285714285,0.9478458049886621
W019,0.8421052631578947,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.10526315783933518,0.21052631567867036,0.10526315789473684,0.9529085872576176
W020,0.8913043478260869,0.8214285714285714,1.0,0.9019607843137255,0.21739130425330813,0.0,0.08695652173913046,0.9829867674858223
W023,0.825,0.782608695652174,0.9,0.8372093023255814,0.249999999875,0.09999999995,0.17500000000000002,0.9525
W024,0.8333333333333334,0.9375,0.7142857142857143,0.8108108108108109,0.04761904759637188,0.2857142855782313,0.047619047619047644,0.9841269841269842
W026,0.8913043478260869,0.875,0.9130434782608695,0.8936170212765957,0.13043478255198487,0.08695652170132324,0.13043478260869568,0.9697542533081285
W028,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W030,0.95,0.9090909090909091,1.0,0.9523809523809523,0.09999999995,0.0,0.0,1.0
W032,0.925,1.0,0.85,0.918918918918919,0.0,0.149999999925,0.025,0.9924999999999999
W033,0.75,0.7727272727272727,0.7083333333333334,0.7391304347826086,0.20833333324652778,0.2916666665451389,0.16666666666666669,0.8472222222222222
W034,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W036,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.05555555552469135,0.05555555552469135,0.055555555555555566,0.9969135802469136
W038,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W041,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555552469135,0.0,1.0
W044,0.7708333333333334,0.696969696969697,0.9583333333333334,0.8070175438596491,0.41666666649305556,0.04166666664930555,0.14583333333333331,0.9288194444444444
W046,0.8333333333333334,0.8888888888888888,0.7619047619047619,0.8205128205128205,0.09523809519274376,0.23809523798185941,0.16666666666666666,0.9160997732426304
W047,0.9318181818181818,0.88,1.0,0.9361702127659575,0.13636363630165288,0.0,0.09090909090909093,0.9586776859504131
W048,0.9090909090909091,1.0,0.8181818181818182,0.9,0.0,0.18181818173553718,0.045454545454545435,0.9979338842975207
W049,0.8947368421052632,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.05263157891966759,0.15789473675900276,0.15789473684210528,0.9612188365650969
W050,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W051,0.8958333333333334,0.88,0.9166666666666666,0.8979591836734694,0.12499999994791666,0.0833333332986111,0.10416666666666669,0.9565972222222223
W052,0.8863636363636364,0.8695652173913043,0.9090909090909091,0.8888888888888888,0.13636363630165288,0.09090909086776859,0.11363636363636365,0.981404958677686
W053,0.8888888888888888,0.8181818181818182,1.0,0.9,0.2222222220987654,0.0,0.0,1.0
W054,0.9444444444444444,0.9,1.0,0.9473684210526315,0.1111111110493827,0.0,0.0,1.0
W055,0.8333333333333334,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.23809523798185941,0.09523809519274376,0.16666666666666666,0.9160997732426304
W056,0.7954545454545454,0.7241379310344828,0.9545454545454546,0.8235294117647058,0.36363636347107436,0.045454545433884296,0.1590909090909091,0.9566115702479339
W058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.1764705881314879,0.1764705881314879,0.17647058823529416,0.9550173010380623
W059,0.8913043478260869,0.95,0.8260869565217391,0.8837209302325582,0.04347826085066162,0.1739130434026465,0.06521739130434781,0.9792060491493384
W061,0.825,0.8823529411764706,0.75,0.8108108108108109,0.09999999995,0.249999999875,0.25,0.895
W063,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W064,0.9782608695652174,1.0,0.9565217391304348,0.9777777777777777,0.0,0.04347826085066162,0.0434782608695652,0.998109640831758
W066,0.8863636363636364,1.0,0.7727272727272727,0.8717948717948718,0.0,0.22727272716942148,0.09090909090909091,0.9545454545454545
W067,0.9130434782608695,0.88,0.9565217391304348,0.9166666666666666,0.13043478255198487,0.04347826085066162,0.10869565217391307,0.9848771266540642
W069,0.9285714285714286,0.875,1.0,0.9333333333333333,0.14285714278911565,0.0,0.0,1.0
W070,0.9473684210526315,0.9047619047619048,1.0,0.95,0.10526315783933518,0.0,0.02631578947368421,0.9916897506925209
W071,0.9318181818181818,0.9130434782608695,0.9545454545454546,0.9333333333333333,0.09090909086776859,0.045454545433884296,0.13636363636363635,0.9752066115702479
W073,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.04347826085066162,0.04347826085066162,0.021739130434782608,0.9773156899810964
W074,0.9347826086956522,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.04347826085066162,0.08695652170132324,0.021739130434782608,0.9943289224952742
W077,0.9761904761904762,0.9545454545454546,1.0,0.9767441860465116,0.04761904759637188,0.0,0.0,1.0
W078,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W079,0.8947368421052632,1.0,0.7894736842105263,0.8823529411764706,0.0,0.21052631567867036,0.23684210526315788,0.925207756232687
W082,0.9210526315789473,0.9444444444444444,0.8947368421052632,0.918918918918919,0.05263157891966759,0.10526315783933518,0.13157894736842105,0.9833795013850415
W084,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.09523809519274376,0.09523809519274376,0.07142857142857142,0.9024943310657596
W086,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
W087,0.9318181818181818,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.045454545433884296,0.09090909086776859,0.022727272727272728,0.9958677685950413
W088,0.9090909090909091,0.8461538461538461,1.0,0.9166666666666666,0.18181818173553718,0.0,0.022727272727272728,0.9938016528925621
W089,0.9615384615384616,0.9285714285714286,1.0,0.9629629629629629,0.07692307689349112,0.0,0.03846153846153845,0.9955621301775148
W090,0.8947368421052632,0.8260869565217391,1.0,0.9047619047619048,0.21052631567867036,0.0,0.07894736842105263,0.9944598337950139
W091,0.9615384615384616,1.0,0.9230769230769231,0.96,0.0,0.07692307689349112,0.0,1.0
W092,0.7857142857142857,0.8,0.7619047619047619,0.7804878048780488,0.19047619038548752,0.23809523798185941,0.2380952380952381,0.873015873015873
W094,0.75,0.6818181818181818,0.9375,0.7894736842105263,0.4374999997265625,0.0624999999609375,0.1875,0.91796875
W095,0.75,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.05555555552469135,0.4444444441975308,0.13888888888888887,0.9660493827160493
W096,0.8863636363636364,1.0,0.7727272727272727,0.8717948717948718,0.0,0.22727272716942148,0.11363636363636363,0.9772727272727273
W097,0.8478260869565217,0.7666666666666667,1.0,0.8679245283018868,0.3043478259546314,0.0,0.08695652173913046,0.9716446124763705
W098,0.7058823529411765,0.64,0.9411764705882353,0.7619047619047619,0.5294117643944637,0.05882352937716263,0.4117647058823529,0.6539792387543253
W099,0.825,0.7407407407407407,1.0,0.851063829787234,0.34999999982499996,0.0,0.050000000000000024,0.9825
W100,0.95,1.0,0.9,0.9473684210526315,0.0,0.09999999995,0.04999999999999999,0.9425
