Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W002,0.8529411764705882,0.8867924528301887,0.9215686274509803,0.9038461538461539,0.3529411762629758,0.07843137253364091,0.2941176470588235,0.8869665513264129
W003,0.8625,0.9803921568627451,0.8333333333333334,0.9009009009009009,0.049999999975,0.16666666663888888,0.05833333333333333,0.9883333333333334
W004,0.9605263157894737,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.05263157891966759,0.035087719292089876,0.052631578947368446,0.9473684210526316
W005,0.9431818181818182,0.9295774647887324,1.0,0.9635036496350365,0.22727272716942148,0.0,0.045454545454545435,0.9841597796143251
W006,0.96875,0.96,1.0,0.9795918367346939,0.124999999921875,0.0,0.0625,0.98828125
W007,0.967391304347826,1.0,0.9565217391304348,0.9777777777777777,0.0,0.04347826086326403,0.021739130434782594,0.9836168872085697
W008,0.7613636363636364,0.9591836734693877,0.7121212121212122,0.8173913043478261,0.09090909086776859,0.2878787878351699,0.1515151515151515,0.9366391184573003
W009,0.9027777777777778,0.8852459016393442,1.0,0.9391304347826087,0.3888888886728395,0.0,0.11111111111111113,0.9681069958847737
W010,0.8522727272727273,0.9076923076923077,0.8939393939393939,0.9007633587786259,0.27272727260330576,0.10606060604453628,0.1515151515151515,0.9056473829201102
W011,0.9642857142857143,0.9838709677419355,0.9682539682539683,0.976,0.04761904759637188,0.03174603174099269,0.03968253968253968,0.9969765684051399
W015,0.7314814814814815,0.9193548387096774,0.7037037037037037,0.7972027972027972,0.18518518511659807,0.29629629625971654,0.2592592592592593,0.8600823045267489
W016,0.95,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.09999999995,0.03333333332777778,0.08333333333333333,0.9858333333333333
W017,0.9411764705882353,0.9795918367346939,0.9411764705882353,0.96,0.05882352937716263,0.05882352940023068,0.05882352941176471,0.9400230680507496
W018,0.9166666666666666,0.9827586206896551,0.9047619047619048,0.9421487603305785,0.04761904759637188,0.09523809522297808,0.047619047619047644,0.9546485260770975
W019,0.8289473684210527,0.9782608695652174,0.7894736842105263,0.8737864077669902,0.05263157891966759,0.21052631575253924,0.052631578947368446,0.9889196675900278
W020,0.9456521739130435,0.9444444444444444,0.9855072463768116,0.9645390070921985,0.1739130434026465,0.014492753621088008,0.08695652173913046,0.972904851921865
W023,0.8625,0.9298245614035088,0.8833333333333333,0.905982905982906,0.1999999999,0.11666666664722222,0.15000000000000002,0.9558333333333333
W024,0.8928571428571429,1.0,0.8571428571428571,0.9230769230769231,0.0,0.14285714283446713,0.09523809523809523,0.982615268329554
W026,0.9318181818181818,0.9838709677419355,0.9242424242424242,0.953125,0.045454545433884296,0.07575757574609734,0.030303030303030297,0.9848484848484848
W028,0.9,0.8823529411764706,1.0,0.9375,0.39999999973333333,0.0,0.011111111111111127,0.9985185185185186
W030,0.9625,0.9523809523809523,1.0,0.975609756097561,0.149999999925,0.0,0.09166666666666669,0.9816666666666667
W032,0.9047619047619048,0.9661016949152542,0.9047619047619048,0.9344262295081968,0.09523809519274376,0.09523809522297808,0.09523809523809523,0.9803476946334089
W033,0.7395833333333334,0.9795918367346939,0.6666666666666666,0.7933884297520661,0.04166666664930555,0.33333333328703707,0.11805555555555558,0.9560185185185185
W034,0.9285714285714286,0.9830508474576272,0.9206349206349206,0.9508196721311475,0.04761904759637188,0.07936507935248173,0.03968253968253968,0.9811035525321239
W036,0.9722222222222222,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.05555555552469135,0.018518518515089163,0.027777777777777776,0.9938271604938271
W038,0.9705882352941176,1.0,0.9607843137254902,0.98,0.0,0.039215686266820454,0.0,1.0
W041,0.9861111111111112,1.0,0.9814814814814815,0.9906542056074766,0.0,0.018518518515089163,0.009259259259259245,0.9969135802469136
W044,0.90625,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.12499999994791666,0.08333333332175927,0.11805555555555558,0.9554398148148149
W046,0.8375,0.873015873015873,0.9166666666666666,0.8943089430894309,0.3999999998,0.08333333331944444,0.20833333333333334,0.9008333333333333
W047,0.9772727272727273,0.9705882352941176,1.0,0.9850746268656716,0.09090909086776859,0.0,0.053030303030303004,0.9586776859504131
W048,0.9886363636363636,0.9850746268656716,1.0,0.9924812030075187,0.045454545433884296,0.0,0.0,1.0
W049,0.9125,0.9344262295081968,0.95,0.9421487603305785,0.1999999999,0.04999999999166667,0.15000000000000002,0.9458333333333333
W050,0.9772727272727273,1.0,0.9696969696969697,0.9846153846153847,0.0,0.03030303029843894,0.0,1.0
W051,0.8333333333333334,0.9375,0.8333333333333334,0.8823529411764706,0.1666666665972222,0.16666666664351854,0.15277777777777773,0.9178240740740741
W052,0.9318181818181818,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.13636363630165288,0.04545454544765841,0.08333333333333336,0.9703856749311295
W053,0.9772727272727273,0.9705882352941176,1.0,0.9850746268656716,0.09090909086776859,0.0,0.08333333333333336,0.949724517906336
W054,0.9444444444444444,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.1111111110493827,0.03703703703017833,0.10185185185185183,0.9814814814814815
W055,0.8928571428571429,0.9655172413793104,0.8888888888888888,0.9256198347107438,0.09523809519274376,0.11111111109347442,0.09523809523809523,0.9508692365835223
W056,0.8571428571428571,0.9473684210526315,0.8571428571428571,0.9,0.14285714278911565,0.14285714283446713,0.126984126984127,0.9470899470899471
W058,0.9558823529411765,1.0,0.9411764705882353,0.9696969696969697,0.0,0.05882352940023068,0.08823529411764706,0.9907727797001153
W059,0.9090909090909091,0.967741935483871,0.9090909090909091,0.9375,0.09090909086776859,0.09090909089531682,0.09090909090909093,0.9683195592286501
W061,0.9305555555555556,0.9152542372881356,1.0,0.9557522123893806,0.2777777776234568,0.0,0.15740740740740738,0.9485596707818931
W063,0.96875,1.0,0.9583333333333334,0.9787234042553191,0.0,0.04166666665798611,0.0,1.0
W064,0.9166666666666666,0.9,1.0,0.9473684210526315,0.3333333331944444,0.0,0.125,0.9513888888888887
W066,0.9404761904761905,0.9833333333333333,0.9365079365079365,0.959349593495935,0.04761904759637188,0.06349206348198538,0.07142857142857142,0.9931972789115646
W067,0.8695652173913043,1.0,0.8260869565217391,0.9047619047619048,0.0,0.1739130434530561,0.13043478260869568,0.9684940138626339
W069,0.8928571428571429,1.0,0.8571428571428571,0.9230769230769231,0.0,0.14285714283446713,0.0,1.0
W070,0.75,1.0,0.6666666666666666,0.8,0.0,0.3333333332748538,0.12280701754385964,0.9741458910433979
W071,0.8636363636363636,1.0,0.8181818181818182,0.9,0.0,0.18181818179063364,0.053030303030303004,0.9903581267217632
W073,0.9772727272727273,1.0,0.9696969696969697,0.9846153846153847,0.0,0.03030303029843894,0.0,1.0
W074,0.9456521739130435,0.9324324324324325,1.0,0.965034965034965,0.21739130425330813,0.0,0.00724637681159418,0.9993698802772527
W077,0.9404761904761905,1.0,0.9206349206349206,0.9586776859504132,0.0,0.07936507935248173,0.08730158730158732,0.9901738473167044
W078,0.9875,0.9836065573770492,1.0,0.9917355371900827,0.049999999975,0.0,0.0,1.0
W079,0.881578947368421,0.98,0.8596491228070176,0.9158878504672897,0.05263157891966759,0.1403508771683595,0.052631578947368446,0.9815327793167127
W082,0.9605263157894737,0.9655172413793104,0.9824561403508771,0.9739130434782609,0.10526315783933518,0.017543859646044938,0.06140350877192982,0.9935364727608496
W084,0.8333333333333334,0.9152542372881356,0.8571428571428571,0.8852459016393442,0.23809523798185941,0.14285714283446713,0.20634920634920634,0.8805744520030234
W086,0.9318181818181818,0.96875,0.9393939393939394,0.9538461538461539,0.09090909086776859,0.06060606059687788,0.053030303030303004,0.9683195592286501
W087,0.8295454545454546,0.9811320754716981,0.7878787878787878,0.8739495798319328,0.045454545433884296,0.21212121208907256,0.14393939393939392,0.9517906336088154
W088,0.9204545454545454,0.9682539682539683,0.9242424242424242,0.9457364341085271,0.09090909086776859,0.07575757574609734,0.08333333333333336,0.9731404958677685
W089,0.85,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.279999999888,0.10666666665244445,0.2066666666666667,0.8560000000000001
