Writer,Accuracy,Precision,Recall,F1,FAR,FRR,EER,AUC_ROC
W002,0.9722222222222222,0.9473684210526315,1.0,0.972972972972973,0.05555555552469135,0.0,0.027777777777777776,0.9845679012345678
W003,0.868421052631579,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.21052631567867036,0.05263157891966759,0.10526315789473684,0.9750692520775622
W004,0.9210526315789473,0.9444444444444444,0.8947368421052632,0.918918918918919,0.05263157891966759,0.10526315783933518,0.02631578947368421,0.9473684210526316
W005,0.95,0.95,0.95,0.95,0.049999999975,0.049999999975,0.050000000000000024,0.9974999999999999
W006,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,0.0,0.05555555552469135,0.0,1.0
W007,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.0,0.045454545433884296,0.045454545454545435,0.9979338842975207
W008,0.8863636363636364,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.09090909086776859,0.13636363630165288,0.11363636363636363,0.9772727272727273
W009,0.8055555555555556,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.2777777776234568,0.1111111110493827,0.16666666666666663,0.882716049382716
W010,0.9090909090909091,0.875,0.9545454545454546,0.9130434782608695,0.13636363630165288,0.045454545433884296,0.11363636363636365,0.9793388429752066
W011,0.9090909090909091,0.95,0.8636363636363636,0.9047619047619048,0.045454545433884296,0.13636363630165288,0.09090909090909093,0.987603305785124
W015,0.875,0.95,0.7916666666666666,0.8636363636363636,0.04166666664930555,0.20833333324652778,0.08333333333333334,0.982638888888889
W016,0.825,1.0,0.65,0.7878787878787878,0.0,0.34999999982499996,0.07500000000000002,0.995
W017,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.11764705875432525,0.11764705875432525,0.058823529411764705,0.930795847750865
W018,0.8571428571428571,0.7777777777777778,1.0,0.875,0.2857142855782313,0.0,0.16666666666666666,0.9705215419501134
W019,0.8095238095238095,0.7241379310344828,1.0,0.84,0.38095238077097504,0.0,0.14285714285714288,0.9410430839002267
W020,0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523,0.0,0.09090909086776859,0.022727272727272728,0.9958677685950413
W023,0.8,0.7307692307692307,0.95,0.8260869565217391,0.34999999982499996,0.049999999975,0.050000000000000024,0.9424999999999999
W024,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.04761904759637188,0.14285714278911565,0.023809523809523808,0.9818594104308389
W026,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.0,0.045454545433884296,0.0,1.0
W028,0.9333333333333333,0.8823529411764706,1.0,0.9375,0.13333333324444444,0.0,0.09999999999999998,0.9911111111111112
W030,0.975,1.0,0.95,0.9743589743589743,0.0,0.049999999975,0.025000000000000022,0.9775
W032,0.975,0.9523809523809523,1.0,0.975609756097561,0.049999999975,0.0,0.0,1.0
W033,0.8125,0.8947368421052632,0.7083333333333334,0.7906976744186046,0.0833333332986111,0.2916666665451389,0.25,0.8697916666666667
W034,0.8333333333333334,0.9375,0.7142857142857143,0.8108108108108109,0.04761904759637188,0.2857142855782313,0.07142857142857145,0.9659863945578231
W036,0.9166666666666666,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.05555555552469135,0.1111111110493827,0.027777777777777776,0.9938271604938271
